"","Gene1","Gene2","Gene3","Gene4","Gene5","Gene6","cellType"
"Cell2447",8143,15217,17053,1019,8808,1470,"Batch3"
"Cell2448",9347,13979,18814,1007,8233,1233,"Batch3"
"Cell2449",14695,17595,18234,1618,13923,1964,"Batch3"
"Cell2450",10945,19198,16551,1042,10260,1623,"Batch3"
"Cell2451",16885,26902,23529,1863,16462,2822,"Batch3"
"Cell2452",14029,21763,25764,1446,11772,2175,"Batch3"
"Cell2453",14530,26224,25117,1756,15840,2332,"Batch3"
"Cell2454",11011,17076,14709,1000,8686,1723,"Batch3"
"Cell2455",9542,10504,15694,1175,10790,1567,"Batch3"
"Cell2456",8731,14362,13959,990,8575,1503,"Batch3"
"Cell2457",9222,13701,17464,1196,12226,1799,"Batch3"
"Cell2458",8744,16620,17853,1366,10624,1703,"Batch3"
"Cell2459",14219,16705,19387,1467,15472,2223,"Batch3"
"Cell2460",9249,13960,16230,1087,10884,1658,"Batch3"
"Cell2461",10769,15180,20054,1489,15499,1723,"Batch3"
"Cell2462",11299,15327,22411,1564,14208,1468,"Batch3"
"Cell2463",11440,19139,20403,1581,14416,2528,"Batch3"
"Cell2464",10779,16814,17819,1139,10987,1504,"Batch3"
"Cell2465",12445,18032,26156,1175,14483,2684,"Batch3"
"Cell2466",9232,14793,15400,1210,10123,1732,"Batch3"
"Cell2467",8432,18261,17234,1207,12036,1632,"Batch3"
"Cell2468",11997,16598,15896,1193,15944,1813,"Batch3"
"Cell2469",11206,17025,18413,1395,10489,1469,"Batch3"
"Cell2470",11077,19770,21120,1157,13027,2131,"Batch3"
"Cell2471",11473,17660,18805,1590,10774,2084,"Batch3"
"Cell2472",11680,19226,17537,1172,10935,2097,"Batch3"
"Cell2473",10605,15301,16004,1209,11182,1562,"Batch3"
"Cell2474",12224,15516,18289,1202,13087,1270,"Batch3"
"Cell2475",10354,12779,15187,1149,12198,1252,"Batch3"
"Cell2476",8188,10015,15611,1123,9607,1211,"Batch3"
"Cell2477",14669,19549,21389,1457,13514,2278,"Batch3"
"Cell2478",11547,17330,26748,1970,21126,3260,"Batch3"
"Cell2479",11262,14192,14051,1136,11305,1284,"Batch3"
"Cell2480",7948,10392,14193,776,9132,1188,"Batch3"
"Cell2481",9480,18905,17887,969,9665,1486,"Batch3"
"Cell2482",13248,21317,18503,1304,12433,2152,"Batch3"
"Cell2483",9227,13040,15971,1046,7846,1085,"Batch3"
"Cell2484",11764,17697,25967,1821,13317,1594,"Batch3"
"Cell2485",13417,23271,20592,1654,12467,2503,"Batch3"
"Cell2486",12018,22618,20352,983,11117,1454,"Batch3"
"Cell2487",20527,19013,28718,1715,15551,2532,"Batch3"
"Cell2488",9625,17217,16416,1200,9631,1355,"Batch3"
"Cell2489",10975,20660,14975,1419,13042,1674,"Batch3"
"Cell2490",11897,16142,21097,1024,9784,1478,"Batch3"
"Cell2491",10534,21893,16970,1886,17200,1981,"Batch3"
"Cell2492",10623,19235,15653,1526,13732,1998,"Batch3"
"Cell2493",17031,19755,32380,1674,15294,3256,"Batch3"
"Cell2494",19303,27194,28242,1750,19928,3678,"Batch3"
"Cell2495",14803,22936,24174,1668,15937,2772,"Batch3"
"Cell2496",11991,17787,17011,1164,11457,1680,"Batch3"
"Cell2497",11299,21786,15501,1313,10259,1932,"Batch3"
"Cell2498",9529,16644,12998,1306,11126,1664,"Batch3"
"Cell2499",6934,12160,11688,937,11309,1284,"Batch3"
"Cell2500",9733,11095,12021,750,6067,1237,"Batch3"
"Cell2501",9314,20958,18410,1257,12433,1702,"Batch3"
"Cell2502",13107,16532,15939,1359,9145,1166,"Batch3"
"Cell2503",12462,18667,14458,1639,13082,1776,"Batch3"
"Cell2504",10018,14151,11384,829,9933,1613,"Batch3"
"Cell2505",9967,14266,15064,1268,9565,1953,"Batch3"
"Cell2506",15174,23902,22169,1719,16444,2162,"Batch3"
"Cell2507",10114,16180,17715,1305,11953,1754,"Batch3"
"Cell2508",15302,29447,25481,1810,15843,2150,"Batch3"
"Cell2509",10018,16552,14501,1124,12735,1436,"Batch3"
"Cell2510",9831,13541,15535,983,9079,867,"Batch3"
"Cell2511",11793,14758,16586,1158,9875,1430,"Batch3"
"Cell2512",16352,27077,26231,1975,18306,2717,"Batch3"
"Cell2513",18607,23478,25040,1602,13980,1921,"Batch3"
"Cell2514",12431,20573,21412,1491,12417,1822,"Batch3"
"Cell2515",13497,18808,23867,1474,16156,1871,"Batch3"
"Cell2516",8500,14580,12884,746,10959,1447,"Batch3"
"Cell2517",13313,19011,20772,1608,12399,1763,"Batch3"
"Cell2518",7373,13727,13042,1087,10832,1728,"Batch3"
"Cell2519",16831,24134,24133,1884,16609,2021,"Batch3"
"Cell2520",9672,10065,13494,839,8967,1426,"Batch3"
"Cell2521",8477,14293,14031,1020,9055,1725,"Batch3"
"Cell2522",18975,26412,21955,2072,18219,2573,"Batch3"
"Cell2523",8331,15257,14349,1030,9676,1262,"Batch3"
"Cell2524",12149,19775,17441,1036,13637,2027,"Batch3"
"Cell2525",11854,23855,19281,1712,14375,2218,"Batch3"
"Cell2526",12228,16357,17547,1119,8251,1627,"Batch3"
"Cell2527",9118,16169,12485,1233,9128,2177,"Batch3"
"Cell2528",14762,16164,19535,1568,12750,1615,"Batch3"
"Cell2529",9579,14352,15052,1135,12447,1768,"Batch3"
"Cell2530",10150,15508,14396,877,10322,1774,"Batch3"
"Cell2531",13559,22585,26146,1552,14593,2581,"Batch3"
"Cell2532",19043,22970,21067,2133,16261,2830,"Batch3"
"Cell2533",8440,16223,17055,874,9472,1388,"Batch3"
"Cell2534",10866,19440,17862,1266,11932,1432,"Batch3"
"Cell2535",11732,18776,17206,1263,13063,1550,"Batch3"
"Cell2536",6682,12786,13099,1034,9972,1219,"Batch3"
"Cell2537",12238,15583,18119,1548,14053,1535,"Batch3"
"Cell2538",9414,17348,14196,965,8659,1179,"Batch3"
"Cell2539",10669,18389,13985,1470,13495,1840,"Batch3"
"Cell2540",8361,13135,14636,871,10377,1513,"Batch3"
"Cell2541",12376,18238,24875,1554,15859,2378,"Batch3"
"Cell2542",16198,18025,16859,1432,15280,2268,"Batch3"
"Cell2543",13022,20888,17863,1124,12092,1954,"Batch3"
"Cell2544",11010,18229,14099,919,10413,1283,"Batch3"
"Cell2545",14760,17937,25975,1536,15025,2574,"Batch3"
"Cell2546",12221,15530,18465,1255,12719,1570,"Batch3"
"Cell2547",15781,20943,24811,1538,14010,2424,"Batch3"
"Cell2548",8020,11076,12344,1041,9975,1251,"Batch3"
"Cell2549",7706,13616,11660,1087,11056,1439,"Batch3"
"Cell2550",9431,21604,17183,1411,12478,1842,"Batch3"
"Cell2551",17712,19509,20827,1320,15810,2107,"Batch3"
"Cell2552",14446,19171,19324,1186,11009,1695,"Batch3"
"Cell2553",10675,13964,15688,939,10131,1323,"Batch3"
"Cell2554",7760,18383,17864,1195,10987,1526,"Batch3"
"Cell2555",19187,24417,25929,1547,14546,2671,"Batch3"
"Cell2556",15480,23372,20707,1714,12131,2526,"Batch3"
"Cell2557",10357,15719,16307,1115,12761,1691,"Batch3"
"Cell2558",10430,20107,16505,1130,10180,1546,"Batch3"
"Cell2559",12732,16851,21979,1503,14589,2215,"Batch3"
"Cell2560",12149,16530,15533,1043,12222,1719,"Batch3"
"Cell2561",20668,28810,32613,1584,19835,3008,"Batch3"
"Cell2562",12293,27839,21536,1648,15627,2231,"Batch3"
"Cell2563",15993,21114,27372,1859,20126,3269,"Batch3"
"Cell2564",10298,16948,17144,873,9407,1479,"Batch3"
"Cell2565",14425,18244,17121,1301,12842,2414,"Batch3"
"Cell2566",10931,23299,22573,1567,13634,1775,"Batch3"
"Cell2567",9870,12272,21362,1336,12008,1681,"Batch3"
"Cell2568",8011,13079,15079,1033,9895,1424,"Batch3"
"Cell2569",8244,14679,14885,1471,9291,1582,"Batch3"
"Cell2570",6934,11583,10709,595,8102,1293,"Batch3"
"Cell2571",13094,17073,20297,1196,14505,2159,"Batch3"
"Cell2572",7952,12951,13089,880,7933,1015,"Batch3"
"Cell2573",13196,21618,14031,1660,12106,1854,"Batch3"
"Cell2574",8914,14807,19979,985,10011,1208,"Batch3"
"Cell2575",11419,17074,14042,1172,13519,1549,"Batch3"
"Cell2576",8375,12009,15903,983,8203,1431,"Batch3"
"Cell2577",11703,21438,18352,1194,12996,2230,"Batch3"
"Cell2578",11916,16605,16035,1259,15437,2145,"Batch3"
"Cell2579",9948,14015,14037,991,9019,1374,"Batch3"
"Cell2580",13782,29609,25444,1405,14941,2884,"Batch3"
"Cell2581",8858,11643,13299,1055,8069,1532,"Batch3"
"Cell2582",9749,13805,15380,940,7647,1499,"Batch3"
"Cell2583",8321,12888,14912,916,8511,1546,"Batch3"
"Cell2584",18136,29196,25477,1480,14771,3122,"Batch3"
"Cell2585",11484,16954,20874,1474,12780,1931,"Batch3"
"Cell2586",11494,16910,16360,1448,9425,1843,"Batch3"
"Cell2587",9903,17234,17092,1154,13195,1771,"Batch3"
"Cell2588",10318,18657,15695,1224,12495,2310,"Batch3"
"Cell2589",12744,17177,17778,1135,9915,1539,"Batch3"
"Cell2590",9830,17556,16990,1101,9634,1407,"Batch3"
"Cell2591",9203,13363,12467,916,9359,1427,"Batch3"
"Cell2592",8177,14769,11912,1186,8348,1064,"Batch3"
"Cell2593",9919,20206,14962,1169,14293,1285,"Batch3"
"Cell2594",13789,19373,20470,1527,14486,2029,"Batch3"
"Cell2595",10775,18688,16082,896,11534,1395,"Batch3"
"Cell2596",13501,15752,18526,1336,11281,2118,"Batch3"
"Cell2597",11716,16996,18239,1082,10472,1486,"Batch3"
"Cell2598",10452,17482,16046,1295,12624,1696,"Batch3"
"Cell2599",8948,11217,12828,1077,10757,1648,"Batch3"
"Cell2600",14345,20578,22979,1205,12711,1514,"Batch3"
"Cell2601",13605,20239,18191,1292,15102,1608,"Batch3"
"Cell2602",11477,13741,16733,1209,11311,1636,"Batch3"
"Cell2603",9175,17776,13703,1007,10692,1463,"Batch3"
"Cell2604",17344,23468,22519,1596,14539,2557,"Batch3"
"Cell2605",16698,29316,21423,1345,17007,2744,"Batch3"
"Cell2606",10820,18054,17830,1408,13699,1740,"Batch3"
"Cell2607",8173,13792,11382,985,9218,1472,"Batch3"
"Cell2608",10640,16768,16575,1220,10761,2456,"Batch3"
"Cell2609",7919,14116,10746,1119,9566,1041,"Batch3"
"Cell2610",13339,15782,18674,1363,15683,1637,"Batch3"
"Cell2611",6381,9846,9886,756,7109,1137,"Batch3"
"Cell2612",6660,10718,11189,646,7977,989,"Batch3"
"Cell2613",12186,19413,21336,1778,13877,1755,"Batch3"
"Cell2614",10594,17297,16811,1230,11517,1636,"Batch3"
"Cell2615",8386,13455,15116,1117,11096,1229,"Batch3"
"Cell2616",8305,12418,19627,1099,10994,1433,"Batch3"
"Cell2617",9064,15076,16782,1061,7967,1207,"Batch3"
"Cell2618",10652,18039,20139,1785,16339,1963,"Batch3"
"Cell2619",8427,14535,13646,964,10681,1389,"Batch3"
"Cell2620",9131,12616,12986,846,9476,1412,"Batch3"
"Cell2621",9206,13041,16598,1037,8844,956,"Batch3"
"Cell2622",13103,16978,16012,994,11226,1434,"Batch3"
"Cell2623",13308,14717,14831,1134,13542,2208,"Batch3"
"Cell2624",7688,14377,15408,1097,11912,1530,"Batch3"
"Cell2625",14834,22344,25053,1534,14974,2093,"Batch3"
"Cell2626",7784,11889,10997,1017,8079,1337,"Batch3"
"Cell2627",12845,17850,21815,1666,13087,1673,"Batch3"
"Cell2628",6911,13795,9339,934,8988,1242,"Batch3"
"Cell2629",8605,15335,15403,1223,14305,1628,"Batch3"
"Cell2630",9768,13540,15215,1032,10407,1638,"Batch3"
"Cell2631",9734,13708,12168,1159,12251,1026,"Batch3"
"Cell2632",14109,23530,23580,2006,13874,2125,"Batch3"
"Cell2633",15076,17301,19129,1454,10347,2136,"Batch3"
"Cell2634",11712,14388,15665,906,9665,1666,"Batch3"
"Cell2635",13801,19159,25573,1433,13146,1934,"Batch3"
"Cell2636",10415,14763,12881,1135,8201,1718,"Batch3"
"Cell2637",7541,15974,16549,1283,10024,1260,"Batch3"
"Cell2638",16461,27842,25928,1484,15987,3042,"Batch3"
"Cell2639",10010,18390,15157,1185,11225,1444,"Batch3"
"Cell2640",10821,21786,14816,1355,9412,2136,"Batch3"
"Cell2641",12963,16917,19065,1272,13025,2234,"Batch3"
"Cell2642",17058,27439,26427,2275,17153,2728,"Batch3"
"Cell2643",10124,18633,17129,1171,9918,1503,"Batch3"
"Cell2644",14328,18974,16217,1330,11449,1947,"Batch3"
"Cell2645",11521,17529,20577,836,10785,1970,"Batch3"
"Cell2646",12072,19325,19090,1851,10709,2000,"Batch3"
"Cell2647",12183,17842,19398,1084,10314,1970,"Batch3"
"Cell2648",11660,15951,13008,1361,10740,1624,"Batch3"
"Cell2649",12604,18349,20631,1094,10761,1402,"Batch3"
"Cell2650",9593,12855,11982,1190,10425,1552,"Batch3"
"Cell2651",6144,12481,12223,911,6387,909,"Batch3"
"Cell2652",8895,15607,17493,1348,11641,1780,"Batch3"
"Cell2653",13149,21002,19340,1656,14860,2041,"Batch3"
"Cell2654",11071,22813,18403,1433,12454,1670,"Batch3"
"Cell2655",7628,11073,10769,610,8181,1071,"Batch3"
"Cell2656",13357,24296,19243,1554,15163,1969,"Batch3"
"Cell2657",9906,16732,16109,1364,13304,2235,"Batch3"
"Cell2658",15774,24765,28886,1418,18978,2236,"Batch3"
"Cell2659",7524,13406,11348,1017,7802,1471,"Batch3"
"Cell2660",14563,16774,16912,1462,12838,1686,"Batch3"
"Cell2661",7491,12554,14585,796,9013,1078,"Batch3"
"Cell2662",16583,27363,26116,1797,20128,2838,"Batch3"
"Cell2663",11932,21172,25087,1589,15171,1752,"Batch3"
"Cell2664",8577,10571,11188,1026,8319,1431,"Batch3"
"Cell2665",10361,14093,17245,914,10601,1649,"Batch3"
"Cell2666",10624,16033,15771,1158,10895,1718,"Batch3"
"Cell2667",11707,13876,12233,1068,10974,1439,"Batch3"
"Cell2668",14578,23066,23452,1387,13737,2432,"Batch3"
"Cell2669",12406,17746,14181,923,9473,1338,"Batch3"
"Cell2670",9736,20502,17447,837,10168,1262,"Batch3"
"Cell2671",14810,21551,20819,1787,14027,2071,"Batch3"
"Cell2672",12067,21415,22675,1098,14187,2445,"Batch3"
"Cell2673",10603,13620,14586,941,11522,1609,"Batch3"
"Cell2674",17253,26162,21226,1443,12056,2943,"Batch3"
"Cell2675",13482,26422,23168,1445,13921,2234,"Batch3"
"Cell2676",10081,16169,12738,881,8898,1662,"Batch3"
"Cell2677",10219,12568,13792,866,8772,1230,"Batch3"
"Cell2678",10344,12781,15166,1046,8512,1483,"Batch3"
"Cell2679",11198,19447,21407,1398,10727,2117,"Batch3"
"Cell2680",12912,14861,10936,1201,11235,1595,"Batch3"
"Cell2681",13831,17975,19380,1235,11599,1807,"Batch3"
"Cell2682",8826,12061,14744,944,9766,1164,"Batch3"
"Cell2683",10329,16116,14284,1102,10507,1840,"Batch3"
"Cell2684",12308,21985,16959,1314,13074,1830,"Batch3"
"Cell2685",13747,25942,20753,1337,12742,1946,"Batch3"
"Cell2686",13369,20660,21220,1273,12532,1383,"Batch3"
"Cell2687",11796,23042,18171,1315,13460,1859,"Batch3"
"Cell2688",11417,20125,17177,1148,12203,1577,"Batch3"
"Cell2689",9739,14089,17241,978,8861,1861,"Batch3"
"Cell2690",11408,16354,16622,1342,9889,1463,"Batch3"
"Cell2691",10798,20688,19412,1041,15660,2324,"Batch3"
"Cell2692",18196,23621,26365,1966,15913,2760,"Batch3"
"Cell2693",11687,21769,15301,1343,13327,2143,"Batch3"
"Cell2694",10550,11763,15203,1300,8915,1498,"Batch3"
"Cell2695",10313,13472,17582,950,10306,1624,"Batch3"
"Cell2696",10501,12526,15437,1351,9361,1236,"Batch3"
"Cell2697",12289,21617,24398,1769,14655,2078,"Batch3"
"Cell2698",11840,15216,19593,1338,11882,1701,"Batch3"
"Cell2699",9230,12463,10557,951,9368,1500,"Batch3"
"Cell2700",13161,18626,17963,1298,9834,1899,"Batch3"
"Cell2701",12308,14804,15186,1248,11155,1566,"Batch3"
"Cell2702",10347,12793,12550,1159,11090,1234,"Batch3"
"Cell2703",7236,10862,13549,815,6863,1192,"Batch3"
"Cell2704",9274,13448,16015,1113,10565,1483,"Batch3"
"Cell2705",11540,18321,16201,1582,13662,1395,"Batch3"
"Cell2706",11185,20513,18174,1401,13987,2152,"Batch3"
"Cell2707",12667,20378,23420,1472,12781,1521,"Batch3"
"Cell2708",8222,11808,10757,880,7162,1371,"Batch3"
"Cell2709",12917,20198,17360,1353,12991,2884,"Batch3"
"Cell2710",7708,9531,13766,924,9125,1378,"Batch3"
"Cell2711",12444,17778,25012,1228,14772,1916,"Batch3"
"Cell2712",10991,19561,17806,1057,13293,1969,"Batch3"
"Cell2713",11890,19401,17179,1075,12123,1701,"Batch3"
"Cell2714",11146,15228,15195,1051,9214,1174,"Batch3"
"Cell2715",9591,14737,20060,990,8913,1289,"Batch3"
"Cell2716",9351,17173,16014,1495,10505,1919,"Batch3"
"Cell2717",13390,16753,21189,1381,11389,2060,"Batch3"
"Cell2718",13491,20464,22970,1466,19846,2514,"Batch3"
"Cell2719",16561,24988,19386,1785,15782,2982,"Batch3"
"Cell2720",18381,28161,22939,1977,17523,3339,"Batch3"
"Cell2721",6499,10922,10838,937,8742,1445,"Batch3"
"Cell2722",12280,20170,19199,1420,11830,1502,"Batch3"
"Cell2723",8493,14668,13480,1016,9281,1560,"Batch3"
"Cell2724",12657,21674,21582,1764,13570,2188,"Batch3"
"Cell2725",15102,18492,24727,1332,14145,2036,"Batch3"
"Cell2726",8277,15516,15683,1095,12697,1404,"Batch3"
"Cell2727",8161,14480,16507,899,8653,1071,"Batch3"
"Cell2728",10487,18201,15791,1594,11927,1721,"Batch3"
"Cell2729",7799,10869,13647,935,8070,1238,"Batch3"
"Cell2730",10278,14790,13484,1094,9049,1207,"Batch3"
"Cell2731",11165,20221,18293,1627,12236,1692,"Batch3"
"Cell2732",12004,17156,14414,1168,12122,1705,"Batch3"
"Cell2733",12238,17010,17390,1564,10362,1579,"Batch3"
"Cell2734",15320,21005,21610,1759,16353,2119,"Batch3"
"Cell2735",13180,17122,18572,1430,12942,1801,"Batch3"
"Cell2736",13282,21302,22214,1485,16335,2570,"Batch3"
"Cell2737",10249,14738,12214,1056,10914,1727,"Batch3"
"Cell2738",9967,12463,14321,960,11083,1417,"Batch3"
"Cell2739",8297,14588,13999,922,11035,1424,"Batch3"
"Cell2740",16507,21365,21049,1668,18028,2805,"Batch3"
"Cell2741",9864,14549,17571,1065,12439,1418,"Batch3"
"Cell2742",12414,19754,20792,1604,11456,1955,"Batch3"
"Cell2743",7914,11282,14033,1139,9432,1345,"Batch3"
"Cell2744",10871,16972,16860,1435,12379,2494,"Batch3"
"Cell2745",11763,17764,18397,1130,11951,1907,"Batch3"
"Cell2746",12823,18959,18358,1227,10426,1590,"Batch3"
"Cell2747",13847,19638,16029,1716,12748,1811,"Batch3"
"Cell2748",12274,19968,15963,1450,12377,2119,"Batch3"
"Cell2749",11838,17427,15026,1062,13637,2198,"Batch3"
"Cell2750",10548,15414,14944,1187,11148,1872,"Batch3"
"Cell2751",7933,11540,16352,1098,8038,814,"Batch3"
"Cell2752",12835,20357,21746,1415,13193,1899,"Batch3"
"Cell2753",11967,16995,15909,1487,11995,1728,"Batch3"
"Cell2754",10620,12826,17019,1113,11581,1797,"Batch3"
"Cell2755",9354,19914,18173,1121,13788,1888,"Batch3"
"Cell2756",9205,12676,12682,1077,11101,1156,"Batch3"
"Cell2757",17048,22461,24813,1480,23090,3332,"Batch3"
"Cell2758",7970,11249,12138,705,6144,986,"Batch3"
"Cell2759",15730,17588,22031,1216,11488,1887,"Batch3"
"Cell2760",9778,11038,12060,1133,9164,1378,"Batch3"
"Cell2761",12674,20589,21962,1576,18002,2460,"Batch3"
"Cell2762",9956,23191,19507,2365,19493,1861,"Batch3"
"Cell2763",10799,18182,17987,1382,10693,1697,"Batch3"
"Cell2764",14347,20802,25451,1585,15928,2475,"Batch3"
"Cell2765",9311,12305,16735,925,9855,1648,"Batch3"
"Cell2766",11653,21417,17253,1245,12256,1923,"Batch3"
"Cell2767",13663,16586,19204,1352,14075,1939,"Batch3"
"Cell2768",12846,22341,19598,1751,15309,1973,"Batch3"
"Cell2769",11660,16412,16330,1210,11094,1894,"Batch3"
"Cell2770",7565,13032,12735,701,7162,899,"Batch3"
"Cell2771",9525,14582,14985,930,11364,1683,"Batch3"
"Cell2772",8950,16313,13615,903,10644,1464,"Batch3"
"Cell2773",15677,26320,23607,1325,19529,3041,"Batch3"
"Cell2774",14618,23770,25323,1687,15632,2273,"Batch3"
"Cell2775",14644,26518,27692,1442,16156,1770,"Batch3"
"Cell2776",14849,24205,17149,1506,13011,1847,"Batch3"
"Cell2777",7274,9586,11306,816,6518,848,"Batch3"
"Cell2778",7931,12460,14609,1420,9034,1329,"Batch3"
"Cell2779",11910,16664,20090,1150,11379,2356,"Batch3"
"Cell2780",11385,20292,12221,1288,10069,1938,"Batch3"
"Cell2781",12684,20302,24613,1403,10044,1758,"Batch3"
"Cell2782",8943,14637,15281,1348,9394,1663,"Batch3"
"Cell2783",12988,22616,19264,1527,15184,1755,"Batch3"
"Cell2784",11372,19264,19195,1016,13804,1707,"Batch3"
"Cell2785",8517,15068,12990,872,11286,1300,"Batch3"
"Cell2786",8760,12202,18009,1081,8775,1568,"Batch3"
"Cell2787",8749,16114,14310,1033,9350,1753,"Batch3"
"Cell2788",10441,18153,15683,1311,10450,1357,"Batch3"
"Cell2789",10397,15719,18078,1296,10219,1668,"Batch3"
"Cell2790",8825,12423,15235,924,10276,1481,"Batch3"
"Cell2791",16455,29722,22860,1284,13780,2021,"Batch3"
"Cell2792",10074,17737,15133,1144,8955,1719,"Batch3"
"Cell2793",11135,14576,21044,1317,8086,2022,"Batch3"
"Cell2794",10142,15586,19534,1157,8620,1755,"Batch3"
"Cell2795",9449,11431,17499,763,9230,1369,"Batch3"
"Cell2796",11470,18379,19757,1606,11759,1720,"Batch3"
"Cell2797",9897,12705,17599,945,11760,1082,"Batch3"
"Cell2798",10855,21432,14787,1306,12265,1731,"Batch3"
"Cell2799",10879,17034,16985,984,9514,1697,"Batch3"
"Cell2800",10913,17336,20389,1335,12496,1893,"Batch3"
"Cell2801",11610,17316,14777,979,9629,1249,"Batch3"
"Cell2802",8498,8839,12895,825,7705,1269,"Batch3"
"Cell2803",11803,13264,14839,924,10279,1534,"Batch3"
"Cell2804",12010,13462,12664,1163,12244,1434,"Batch3"
"Cell2805",8130,13965,12059,824,10179,1473,"Batch3"
"Cell2806",10956,12781,14731,1086,9271,1356,"Batch3"
"Cell2807",9887,19828,13855,1191,11753,1744,"Batch3"
"Cell2808",12644,15844,17098,1382,11050,1529,"Batch3"
"Cell2809",13133,17511,19547,1265,12571,2337,"Batch3"
"Cell2810",8423,12902,12927,852,6939,1199,"Batch3"
"Cell2811",10630,16256,11145,1002,9913,1746,"Batch3"
"Cell2812",9446,12736,16514,892,8826,1405,"Batch3"
"Cell2813",10444,15609,14717,1229,11981,1574,"Batch3"
"Cell2814",13510,16696,18777,1297,16308,2252,"Batch3"
"Cell2815",9249,17715,19674,1247,13053,1730,"Batch3"
"Cell2816",10898,15810,17617,1229,11365,1369,"Batch3"
"Cell2817",11410,15490,19370,1105,9922,1512,"Batch3"
"Cell2818",14037,29851,20636,1794,18610,2832,"Batch3"
"Cell2819",11660,23215,18991,1701,11210,1624,"Batch3"
"Cell2820",10991,17164,17218,1784,11823,1662,"Batch3"
"Cell2821",13086,24693,19047,1059,14244,1992,"Batch3"
"Cell2822",10924,12995,19739,1091,11373,1740,"Batch3"
"Cell2823",9057,14345,10671,948,9564,1002,"Batch3"
"Cell2824",8160,12350,10911,776,8722,1388,"Batch3"
"Cell2825",11170,14031,16880,1022,9961,1362,"Batch3"
"Cell2826",10829,11822,16473,1191,10929,1836,"Batch3"
"Cell2827",8473,17043,12779,1352,8783,1765,"Batch3"
"Cell2828",14970,24387,27314,1568,16170,2568,"Batch3"
"Cell2829",9020,17338,13658,1118,10154,1466,"Batch3"
"Cell2830",12631,16745,13862,1159,10429,1821,"Batch3"
"Cell2831",12510,18630,21152,1562,13041,1689,"Batch3"
"Cell2832",8984,14118,15865,839,8622,1282,"Batch3"
"Cell2833",9768,17046,16411,1031,12106,1644,"Batch3"
"Cell2834",12383,23007,21673,1451,16023,1766,"Batch3"
"Cell2835",12641,15380,20606,1391,12608,1604,"Batch3"
"Cell2836",18826,17964,26280,1561,13632,3071,"Batch3"
"Cell2837",9837,18167,14915,1423,11100,1877,"Batch3"
"Cell2838",10102,14772,12353,821,10620,1164,"Batch3"
"Cell2839",15453,19977,19813,1477,14009,2346,"Batch3"
"Cell2840",13148,23588,17573,1295,12376,2244,"Batch3"
"Cell2841",13850,19213,22800,1181,12769,2285,"Batch3"
"Cell2842",11084,18435,18584,1349,12958,1649,"Batch3"
"Cell2843",12119,20007,17850,1101,13255,1761,"Batch3"
"Cell2844",10425,22633,23713,1713,11193,2828,"Batch3"
"Cell2845",13934,20384,21424,1307,14796,2481,"Batch3"
"Cell2846",7973,13214,13630,1048,12304,1367,"Batch3"
"Cell2847",12932,22764,19020,1422,12792,2076,"Batch3"
"Cell2848",14154,22373,18743,1853,13226,1718,"Batch3"
"Cell2849",16287,26521,28064,1934,15746,2352,"Batch3"
"Cell2850",15740,23375,17243,1369,14811,2590,"Batch3"
"Cell2851",8380,12321,10971,909,10679,1758,"Batch3"
"Cell2852",7342,12097,11787,783,6638,994,"Batch3"
"Cell2853",10401,17159,16665,1303,11765,1795,"Batch3"
"Cell2854",16932,21315,36061,1737,14726,2486,"Batch3"
